basin,time,precip
Konya Kapalı Havzası,2019-12-01,2.9318995785002233
Konya Kapalı Havzası,2020-01-01,2.562906158757108
Konya Kapalı Havzası,2020-02-01,2.6797693917131182
Konya Kapalı Havzası,2020-03-01,1.8795091358122082
Konya Kapalı Havzası,2020-04-01,1.3455592779822902
Konya Kapalı Havzası,2020-05-01,1.3478611329750783
Konya Kapalı Havzası,2020-06-01,0.9443531030903405
Konya Kapalı Havzası,2020-07-01,0.06764644341388738
Konya Kapalı Havzası,2020-08-01,0.08174957353262763
Konya Kapalı Havzası,2020-09-01,0.22184145455608842
Konya Kapalı Havzası,2020-10-01,0.2769988062111085
Konya Kapalı Havzası,2020-11-01,0.9541286649234967
Konya Kapalı Havzası,2020-12-01,0.8624088243006215
Konya Kapalı Havzası,2021-01-01,1.844212457640277
Konya Kapalı Havzası,2021-02-01,0.7839666113301128
Konya Kapalı Havzası,2021-03-01,2.5727570611659254
Konya Kapalı Havzası,2021-04-01,1.3217971188590005
Konya Kapalı Havzası,2021-05-01,0.4102225523841325
Konya Kapalı Havzası,2021-06-01,1.3475230715551665
Konya Kapalı Havzası,2021-07-01,0.1581737913936288
Konya Kapalı Havzası,2021-08-01,0.3368762249502421
Konya Kapalı Havzası,2021-09-01,0.9836233746268984
Konya Kapalı Havzası,2021-10-01,0.13093883568537593
Konya Kapalı Havzası,2021-11-01,1.174344027658524
Konya Kapalı Havzası,2021-12-01,2.451826506449904
Konya Kapalı Havzası,2022-01-01,3.3633994712892332
Konya Kapalı Havzası,2022-02-01,2.2649522733971255
Konya Kapalı Havzası,2022-03-01,2.364975853402352
Konya Kapalı Havzası,2022-04-01,0.61613317817989
Konya Kapalı Havzası,2022-05-01,1.5459708445278377
Konya Kapalı Havzası,2022-06-01,1.6125591218762163
Konya Kapalı Havzası,2022-07-01,0.07739618601834226
Konya Kapalı Havzası,2022-08-01,0.20497505534273597
Konya Kapalı Havzası,2022-09-01,0.170151511939497
Konya Kapalı Havzası,2022-10-01,0.5610145481301977
Konya Kapalı Havzası,2022-11-01,0.3381232269133524
Konya Kapalı Havzası,2022-12-01,0.4923811955087795
Konya Kapalı Havzası,2023-01-01,0.3234498850636949
Konya Kapalı Havzası,2023-02-01,0.5065698631311832
Konya Kapalı Havzası,2023-03-01,1.6055573288328744
Konya Kapalı Havzası,2023-04-01,1.1141653559721887
Konya Kapalı Havzası,2023-05-01,1.1240948324916262
Konya Kapalı Havzası,2023-06-01,1.3033940418988295
Konya Kapalı Havzası,2023-07-01,0.09689035776792784
Konya Kapalı Havzası,2023-08-01,0.07443690256244674
Konya Kapalı Havzası,2023-09-01,0.33288112660798985
Konya Kapalı Havzası,2023-10-01,0.3317276523951527
Konya Kapalı Havzası,2023-11-01,0.7664462121113798
Konya Kapalı Havzası,2023-12-01,0.6824743886570022
Konya Kapalı Havzası,2024-01-01,1.0983274688621691
Konya Kapalı Havzası,2024-02-01,0.4157265744878523
Konya Kapalı Havzası,2024-03-01,1.3352035055720548
Konya Kapalı Havzası,2024-04-01,1.0974476707562084
Konya Kapalı Havzası,2024-05-01,2.9203645344774145
Konya Kapalı Havzası,2024-06-01,0.4919169803653548
Konya Kapalı Havzası,2024-07-01,0.6002289280268703
Konya Kapalı Havzası,2024-08-01,0.46831022179010895
Konya Kapalı Havzası,2024-09-01,1.2150312446227014
Konya Kapalı Havzası,2024-10-01,0.06486855178529467
Konya Kapalı Havzası,2024-11-01,1.2911971294155136
Konya Kapalı Havzası,2024-12-01,2.0081455636904706
Konya Kapalı Havzası,2025-01-01,0.7800490102307868
Konya Kapalı Havzası,2025-02-01,1.2399980009266398
Konya Kapalı Havzası,2025-03-01,0.733903344412576
Konya Kapalı Havzası,2025-04-01,2.180422817781901
Konya Kapalı Havzası,2025-05-01,1.9467479706502924
Konya Kapalı Havzası,2025-06-01,0.5012764835251273
Konya Kapalı Havzası,2025-07-01,0.16732156693011224
Konya Kapalı Havzası,2025-08-01,0.2507834853533082
Konya Kapalı Havzası,2025-09-01,0.33295899280772623
Konya Kapalı Havzası,2025-10-01,0.6440800779401702
Konya Kapalı Havzası,2025-11-01,0.7347604985692154
